HF Code,HF Name,Province,District,Palika,Ward,Authority-Level,Authority,Ownership,Facility Level
3060803992,UNIVERSAL DIAGNOSTIC CENTER PVT_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Diagnostic Center (Radiology/Laboratory/X-ray etc.)
3060804002,DRISHTI EYE CARE CENTER,KALANKI,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060804012,DRISTI EYE CARE CENTER,CHABHIL,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060804022,DRISTI THE VISION EYE CENTER_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060804032,JAMAL DRISTI EYE CARE CENTER PVT . LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060804042,KIRTIPUR EYE CARE CENTER,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060804052,0,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060804062,KRITIPUR AAKHA UPCHAR KENDRA_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060804082,NAMESTE EYE CENTER PVT_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060804092,NAVAJYOTI NETRALAYA PVT_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060804122,AADHARBHUT PARSUTI HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,General Hospital
3060804132,ALL NEPAL HOSPITAL PVT LTD _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,26,,Non-Government,Private Enterprise,General Hospital
3060804142,ANNAPURNA NEUROLOGICAL HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,11,,Non-Government,Private Enterprise,General Hospital
3060804152,BHAROSA HOSPITAL PVT LTD _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,10,,Non-Government,Private Enterprise,General Hospital
3060804162,BINAYAK HOSPITAL KATHMANDU METROPOLITAN CITY_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,General Hospital
3060804172,BINAYAK MEDISCIENCE HOSPITAL & RESEARCH CENTER_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,General Hospital
3060804182,BLUE CROSS HOSPITAL PVT LTD _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,11,,Non-Government,Private Enterprise,General Hospital
3060804192,CAPITAL HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,28,,Non-Government,Private Enterprise,General Hospital
3060804202,CARE HOSPITAL PVT LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,10,,Non-Government,Private Enterprise,General Hospital
3060804212,CHHETRAPATI FREE CLINIC HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,18,,Non-Government,Private Enterprise,General Hospital
3060804222,DIRGHAU GURU HOSPITAL,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,General Hospital
3060804232,EVEREST HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,10,,Non-Government,Private Enterprise,General Hospital
3060804242,GAUTAM BUDDHA INTERNTIONAL CARDIAC HOSPITAL(OMNICARE)_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,General Hospital
3060804252,GRACE HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,7,,Non-Government,Private Enterprise,General Hospital
3060804262,HAMRO SAHAYATRI HOSPITAL PVT LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,32,,Non-Government,Private Enterprise,General Hospital
3060804272,HAMS HOSPITAL _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,11,,Non-Government,Private Enterprise,General Hospital
3060804282,HIMAL HOSPITAL PVT LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,1,,Non-Government,Private Enterprise,General Hospital
3060804292,JANAMAITRI HOSPITAL _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,16,,Non-Government,Private Enterprise,General Hospital
3060804302,JYOTI HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,13,,Non-Government,Private Enterprise,General Hospital
3060804312,KANTIPUR  GENERAL HOSPITAL _ BASUNDHARA_ KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,General Hospital
3060804322,KANTIPUR HOSPITAL _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,31,,Non-Government,Private Enterprise,General Hospital
3060804332,KATHMANDU HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,11,,Non-Government,Private Enterprise,General Hospital
3060804342,LIFE CARE HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,22,,Non-Government,Private Enterprise,General Hospital
3060804352,MAHENDRANARAYAN NIDHI MEMORIYAL HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,General Hospital
3060804362,MEDI CARE NATIONAL HOSPITAL PVT LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,7,,Non-Government,Private Enterprise,General Hospital
3060804372,MENLHA NURSING HOME (CIWEC HOSPITAL PVT)_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,General Hospital
3060804382,NEPAL BEIJING FRIENDSHIP HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,General Hospital
3060804392,NEPAL BHARAT MAITRI HOSPITAL_ KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,7,,Non-Government,Private Enterprise,General Hospital
3060804402,NEPAL KOREA SKIN HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,General Hospital
3060804412,NEPAL SKIN HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,11,,Non-Government,Private Enterprise,General Hospital
3060804422,NOBEL HOSPITAL & RESEARCH CENTER_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,General Hospital
3060804432,NORTH POINT HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,General Hospital
3060804442,NORVIC INTERNATIONAL HOSPITAL _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,11,,Non-Government,Private Enterprise,General Hospital
3060804452,OM HOSPITAL & RESEARCH CENTER _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,7,,Non-Government,Private Enterprise,General Hospital
3060804462,PEOPLE'S  GENERAL HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,16,,Non-Government,Private Enterprise,General Hospital
3060804472,SAHID MEMORIAL HOSPITAL _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,14,,Non-Government,Private Enterprise,General Hospital
3060804482,SHECHAIN CLINIC AND HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,6,,Non-Government,Private Enterprise,General Hospital
3060804492,SHIVA JYOTI HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,14,,Non-Government,Private Enterprise,General Hospital
3060804502,SHREE BINAYAK MEDISCIENCE HOS. & RESEARCH CENTER_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,General Hospital
3060804512,SIRDI SATYA SAI DENTAL HOSPITAL PVT LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,13,,Non-Government,Private Enterprise,General Hospital
3060804522,SPARK HEALTH HOME HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,13,,Non-Government,Private Enterprise,General Hospital
3060804532,SWACAN INTERNATIONAL HOSPITAL _ KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,General Hospital
3060804542,VAYODHA HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,General Hospital
3060804552,VENUS INTERNATIONAL HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,General Hospital
3060804562,VIBHOR HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,28,,Non-Government,Private Enterprise,General Hospital
3060804572,VINAYAK HOSPITAL & MATERNITY HOME PVT.LTD_ KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,General Hospital
3060804582,WEL CARE HOSPITAL,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,General Hospital
3060804592,AROMA HEALTH FOUNDATION PVT_ KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804602,B.B HEALTH CARE CENTER PVT LTD_ KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804612,BENDANT HEALTH CENTRE PVT_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804622,CHETANA HEALTH SERVICE CENTRE PVT LTD _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804632,CHINA GREATWALL HEALTH CENTER,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804642,CITY HEALTH CARE,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804652,COMMUNITY HEALTH CENTRE _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804662,CUTISCARE PVT_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804672,DARMA PERFECT SKIN LASERR & PLASTIC SURGERY CENTER PVT. LTD,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804682,DHAULAGIRI HEALTH CARE CENTER PVT LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804692,DI SKIN HEALTH & REHABILITATION CENTER PVT. LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804702,DIAMOND HEALTH CARE CENTER PVT LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804712,DIKSHYA HEALTH CENTRE_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804722,FRIENDSHIP HEALTHCARE PVT.LTD _ KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804732,GANDHI TULSI MANOHARA COMMUNITY HEALTH CARE CENTER,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804742,JANAK MEDICAL & RESEARCH CENTER PVT LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804752,KALASH HEALTH CARE CENTER_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804762,KANISHK INTERNATIONAL HEALTH CARE_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804772,KASTHAMANDAP HEALTH CARE CENTER PVT LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804782,KATHMANDU HEALTH CARE CENTRE _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804792,KATHMANDU PHYSIOTHERAPY PVT,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804802,KATHMANDU ULTRASONIC CLINIC,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804812,MAN PHYSIOTHERAPY CENTER,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804822,MEDIPLUS HEALTH CARE_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804832,NAGARJUN HEALTHCARE CENTER _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804842,NEPAL HEALTH CLINIC,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804852,NEPAL SKIN CARE CENTER,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804862,NIRVANA HEALTH CLINIC,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804872,NIRVANA WELLNESS CLINIC,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804882,OSTRICH PHARMA & HEALTH CENTER,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804892,PANACEA CLINIC,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804902,PRIME HEALTH CARE CENTER_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804912,RELLAINCE HEALTH CARE CENTER PVT LDT_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804922,REMEDY MEDICAL CLINIC,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804932,RURAL HEALTH CARE CENTER,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804942,SAAN HEALTH CARE PVT LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804952,SAHARA HEALTH CARE PVT LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804962,SANJEEVANI NEPAL DENTAL & EYE CARE CENTRE_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804972,SANJEEWANI HEALTH CARE CENTER _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804982,SATHYA SAIBABA HEALTH CARE CENTRE PVT LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060804992,SHANTASULABH MAITRI SISHU CLINIC,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060805002,SHUVAPRAVAT SWASTHYA UPACHAR KENDRA _ KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060805012,SINAMANGAL HEALTH CARE _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060805022,SITALNAGAR COMMUNITY HEALTH CENTER_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060805032,SKIN CARE CENTER (HATTISAR),KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060805042,SOUTH ASIAN HEALTH CARE CENTRE PVT LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060805052,SUDAHA HEALTH CARE PVT_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060805062,SULAKSHAN KIRTI HEALTH CENTER,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060805072,SUNSHAINE MEDICAL & RESEARCH CENTRE _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060805082,SYRUP HEALTH CARE PVT_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060805092,TITANIC HEALTH CARE CENTRE _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060805102,UPAKAR NATIONAL HEALTH CARE CENTER PVT LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060805112,VATSALYA HEALTH CARE,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060805122,YASIN CLINIC,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,Local,Non-Government,Local Government,Primary Health Center
3060805132,A CLINIC FOR HELP NEPAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805142,AIRPORT DOCTOR CLINIC_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805152,ALISHA MEDICAL CENTER_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805162,ASIA MEDICAL HALL AND CLINIC KATHMANDU METROPOLITAN CITY_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805172,AWON KALIMATI CLINIC_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805182,BAGMATI SWASTHYA CLINIC_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805192,BASUNDHARA HEALTH CARE CENTER_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805202,BETTER HEALTH CARE CLINIC PVT. LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805212,DEEPAK NEURO SURGEON CLINIC_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805222,DHAULAGIRI HEALTH CARE CENTER_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805232,DR. NIRAKAR MAN SHRESTHA CLINIC_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805242,ERA HEALTH CENTER,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805252,FV INTERNATIONAL CLINIC_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805262,GORKHA GANDAKI CLINIC_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805272,HEALTH CARE CLINIC _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805282,HILLTAKE SAAOL HEART CENTER_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805292,ISWAR MEDICAL AND CLINIC_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805302,J & J HEALTH CLINIC_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805312,JYOTI AGRAWAL CLINIC PVT _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805322,KATHMANDU CLINIC OF COSMETIC SURGERY _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805332,KATTYAYANI CLINIC _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805342,KRIPA & CLINIC _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805352,KUMARI FREE CLINIC _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805362,LIFE INTERNATIONAL CLINIC PVT LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805372,LUMBINI MANOBAL SWASTHY SEWA_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805382,MAHA BUDDHA CLINIC_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805392,MATA MANAKAMANA ARYOGA CLINIC_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805402,MERIDIAN HEALTH CARE CENTRE _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805412,NEURO CLINIC_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805422,NISSAN SUN QUALITY HEALTH CLINIC_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805432,RINA MEDICAL HALL PVT. LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805442,SAI SHANKAR HEALTH CARE,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805452,SAUGAT CLINIC_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805462,SHANKATA CLINIC _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805472,SHANKHAMUL CLINIC_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805482,SOCIAL MEDICAL CENTER PVT_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805492,SOYATKALI NISULKA CHIKITSALAYA _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805502,SRIJANA SWASTHYA CLINIC_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805512,SUDARSAN CLINIC_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805522,SURYAMSHA CLINIC PVT_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805532,SUVHA HEALTH CARE,KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805542,SWASTI LASER & SKIN CARE PVT. LTD_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805552,UV HEALTH CLINIC PVT_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,,,Non-Government,Private Enterprise,Specialized Hospital
3060805562,APPOLO DENTAL HOSPITAL_KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,22,,Non-Government,Private Enterprise,
3060805572,BIRAJ DENTAL HOSPITAL _KATHMANDU,Bagmati Pradesh,Kathmandu,Kathmandu Metropolitan City,32,,Non-Government,Private Enterprise,
